               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016877,           0.0062041,          0.00084059,             0.99905,                   1,               0.995,             0.89703,           0.0097104,           0.0033217,           0.0006063,            0.006535,            0.006535,            0.006535
                  37,            0.017027,            0.006274,           0.0012049,             0.99914,                   1,               0.995,              0.9012,           0.0091421,           0.0032098,           0.0004168,            0.006436,            0.006436,            0.006436
                  38,            0.017222,           0.0061582,           0.0006608,             0.99881,                   1,               0.995,             0.90678,           0.0085377,           0.0031006,          0.00042466,            0.006337,            0.006337,            0.006337
                  39,            0.015865,           0.0060597,          0.00097202,             0.99932,                   1,               0.995,             0.91739,            0.008319,           0.0030707,          0.00045888,            0.006238,            0.006238,            0.006238
                  40,            0.015788,           0.0058262,          0.00079933,             0.99907,                   1,               0.995,             0.91246,           0.0081513,           0.0029834,          0.00039317,            0.006139,            0.006139,            0.006139
                  41,            0.016229,           0.0060522,           0.0011301,             0.99921,                   1,               0.995,             0.89319,           0.0092158,           0.0031273,           0.0004054,             0.00604,             0.00604,             0.00604
                  42,            0.015958,           0.0057809,           0.0009313,             0.99929,                   1,               0.995,             0.92083,           0.0082907,           0.0030472,          0.00034619,            0.005941,            0.005941,            0.005941
                  43,            0.015718,           0.0058992,          0.00096495,             0.99908,                   1,               0.995,             0.89655,           0.0089306,           0.0030479,          0.00034665,            0.005842,            0.005842,            0.005842
                  44,            0.015187,           0.0060115,           0.0010601,             0.99919,                   1,               0.995,             0.93794,           0.0079718,           0.0028944,          0.00043515,            0.005743,            0.005743,            0.005743
                  45,            0.015319,           0.0057689,          0.00070723,             0.99915,                   1,               0.995,             0.91172,           0.0086733,           0.0029238,          0.00032575,            0.005644,            0.005644,            0.005644
                  46,             0.01516,           0.0060343,          0.00061951,             0.99874,                   1,               0.995,             0.94572,           0.0071547,           0.0029043,          0.00034305,            0.005545,            0.005545,            0.005545
                  47,             0.01475,           0.0056061,          0.00086848,             0.99936,                   1,               0.995,             0.91707,           0.0077487,           0.0028848,          0.00039806,            0.005446,            0.005446,            0.005446
                  48,            0.014706,           0.0057533,          0.00073824,             0.99885,                   1,               0.995,             0.92035,           0.0079045,           0.0029407,          0.00033645,            0.005347,            0.005347,            0.005347
                  49,            0.014957,           0.0057749,          0.00075005,              0.9993,                   1,               0.995,             0.90704,             0.00838,           0.0029941,          0.00029237,            0.005248,            0.005248,            0.005248
