               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084784,             0.03032,            0.024751,           0.0033472,                   1,            0.048938,            0.017208,            0.035456,            0.018236,            0.015689,            0.070417,            0.003287,            0.003287
                   1,            0.053585,            0.023964,            0.015195,             0.56877,             0.72704,             0.74398,             0.35196,            0.032384,            0.011974,           0.0074943,            0.040351,           0.0065548,           0.0065548
                   2,            0.057164,            0.019401,            0.010256,             0.63862,             0.81029,             0.77349,             0.33478,            0.034519,           0.0076173,           0.0039165,             0.01022,           0.0097566,           0.0097566
                   3,            0.055449,            0.015815,           0.0074642,             0.39957,             0.79941,             0.53881,             0.16887,            0.045348,           0.0062185,           0.0039967,            0.009703,            0.009703,            0.009703
                   4,            0.049215,            0.014238,            0.007587,             0.70741,             0.71245,             0.81261,              0.5081,            0.033352,           0.0053042,           0.0016143,            0.009703,            0.009703,            0.009703
                   5,            0.043771,            0.012561,           0.0054117,             0.74173,             0.95455,             0.96673,             0.50049,            0.026129,           0.0049052,           0.0023161,            0.009604,            0.009604,            0.009604
                   6,            0.040394,             0.01163,           0.0045157,              0.8869,             0.82411,             0.90895,             0.51902,            0.033216,           0.0046172,           0.0015877,            0.009505,            0.009505,            0.009505
                   7,            0.039326,            0.011627,            0.003218,             0.88555,             0.89707,             0.94136,             0.57572,             0.02383,           0.0044942,           0.0014242,            0.009406,            0.009406,            0.009406
                   8,            0.035943,            0.011147,           0.0036592,             0.61794,             0.95261,             0.86812,             0.53078,            0.027186,           0.0040259,           0.0016902,            0.009307,            0.009307,            0.009307
                   9,            0.032845,            0.010419,           0.0040144,             0.78131,             0.97826,             0.89913,              0.4698,             0.02517,           0.0045716,           0.0021985,            0.009208,            0.009208,            0.009208
                  10,            0.033158,           0.0093193,           0.0026592,             0.97953,             0.97826,             0.99417,             0.76103,            0.016232,           0.0039432,           0.0011512,            0.009109,            0.009109,            0.009109
                  11,            0.034481,           0.0096254,           0.0035602,             0.84573,             0.96968,              0.9468,             0.64943,             0.02003,           0.0037139,           0.0017542,             0.00901,             0.00901,             0.00901
                  12,            0.029504,           0.0096963,           0.0025806,             0.98498,             0.99344,               0.995,             0.73607,             0.01555,           0.0035073,           0.0014483,            0.008911,            0.008911,            0.008911
                  13,            0.028145,           0.0088042,           0.0035898,             0.96336,             0.99981,             0.99456,             0.73526,             0.01457,           0.0034214,           0.0015188,            0.008812,            0.008812,            0.008812
                  14,            0.027449,           0.0088575,           0.0031488,             0.99397,                   1,               0.995,             0.75088,            0.016309,           0.0034215,           0.0012261,            0.008713,            0.008713,            0.008713
                  15,            0.026467,            0.009262,           0.0030374,             0.97613,             0.98693,             0.99315,             0.68689,             0.01612,           0.0034304,          0.00081124,            0.008614,            0.008614,            0.008614
